time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/26/13:37:47.102072,183747.0,42.3388557434,N,-71.084526062,W,-0.36700001359,328280.167614,4689504.51249,19,T,5.0
2020/02/26/13:37:47.702564,183747.59375,42.3388633728,N,-71.0845108032,W,-0.264999985695,328280.896269,4689505.12739,19,T,4.0
2020/02/26/13:37:48.292827,183748.203125,42.3388710022,N,-71.0845031738,W,-0.435000002384,328281.474433,4689505.94746,19,T,5.0
2020/02/26/13:37:48.700041,183748.59375,42.3388748169,N,-71.0845031738,W,-0.402000010014,328281.947042,4689506.39587,19,T,5.0
2020/02/26/13:37:49.101558,183749.0,42.3388786316,N,-71.0844955444,W,-0.391000002623,328282.41363,4689506.87331,19,T,5.0
2020/02/26/13:37:49.487738,183749.40625,42.3388824463,N,-71.084487915,W,-0.379999995232,328282.885748,4689507.32413,19,T,5.0
2020/02/26/13:37:50.094191,183750.0,42.3388900757,N,-71.0844802856,W,-0.421000003815,328283.551829,4689508.00372,19,T,5.0
2020/02/26/13:37:50.492975,183750.40625,42.3388938904,N,-71.0844802856,W,-0.351000010967,328283.984392,4689508.4494,19,T,5.0
2020/02/26/13:37:51.092101,183751.0,42.3388977051,N,-71.0844726562,W,-0.398000001907,328284.656689,4689509.16958,19,T,5.0
2020/02/26/13:37:51.297616,183751.203125,42.3389015198,N,-71.0844650269,W,-0.432000011206,328284.875656,4689509.41513,19,T,5.0
2020/02/26/13:37:51.701835,183751.59375,42.3389053345,N,-71.0844650269,W,-0.449000000954,328285.316273,4689509.85877,19,T,5.0
2020/02/26/13:37:52.295715,183752.203125,42.3389129639,N,-71.0844497681,W,-0.40000000596,328286.037367,4689510.53515,19,T,5.0
2020/02/26/13:37:53.099716,183753.0,42.3389205933,N,-71.0844421387,W,-0.43599998951,328286.894326,4689511.38487,19,T,5.0
2020/02/26/13:37:53.904076,183753.796875,42.3389282227,N,-71.0844345093,W,-0.439999997616,328287.37106,4689512.24261,19,T,5.0
2020/02/26/13:37:54.498080,183754.40625,42.3389320374,N,-71.0844421387,W,0.136000007391,328287.029185,4689512.67172,19,T,4.0
2020/02/26/13:37:55.087380,183755.0,42.3389358521,N,-71.0844497681,W,-0.569999992847,328286.371063,4689513.41525,19,T,5.0
2020/02/26/13:37:55.694592,183755.59375,42.3389434814,N,-71.0844573975,W,-0.643000006676,328285.641618,4689514.06831,19,T,5.0
2020/02/26/13:37:56.297707,183756.203125,42.3389472961,N,-71.0844650269,W,0.119999997318,328284.98705,4689514.62619,19,T,4.0
2020/02/26/13:37:56.901757,183756.796875,42.3389549255,N,-71.0844726562,W,-0.653999984264,328284.222146,4689515.40197,19,T,5.0
2020/02/26/13:37:57.695887,183757.59375,42.3389625549,N,-71.084487915,W,-0.699999988079,328283.245365,4689516.22145,19,T,5.0
2020/02/26/13:37:58.291980,183758.203125,42.3389701843,N,-71.0844955444,W,-0.748000025749,328282.521282,4689516.93067,19,T,5.0
2020/02/26/13:37:58.900527,183758.796875,42.338973999,N,-71.0845031738,W,-0.75,328281.851584,4689517.5943,19,T,5.0
2020/02/26/13:37:59.495804,183759.40625,42.3389816284,N,-71.0845108032,W,-0.702000021935,328281.133668,4689518.23004,19,T,5.0
2020/02/26/13:37:59.898676,183759.796875,42.3389854431,N,-71.0845184326,W,-0.778999984264,328280.662343,4689518.6914,19,T,5.0
2020/02/26/13:38:00.491571,183800.40625,42.3389892578,N,-71.084526062,W,-0.801999986172,328279.948295,4689519.32241,19,T,5.0
