time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/26/13:02:59.096167,180259.0,42.3373069763,N,-71.0864944458,W,-0.103000000119,328113.442845,4689336.34474,19,T,5.0
2020/02/26/13:02:59.692810,180259.59375,42.337310791,N,-71.0864944458,W,-0.352999985218,328113.439232,4689336.92538,19,T,5.0
2020/02/26/13:03:04.079783,180304.0,42.3373603821,N,-71.086555481,W,-1.33200001717,328108.850641,4689342.43232,19,T,5.0
2020/02/26/13:03:05.294855,180305.203125,42.3373718262,N,-71.0865707397,W,-1.56599998474,328107.535218,4689343.6281,19,T,5.0
2020/02/26/13:03:05.487518,180305.40625,42.3373756409,N,-71.0865707397,W,-1.53999996185,328107.255768,4689344.05921,19,T,4.0
2020/02/26/13:03:05.685101,180305.59375,42.3373756409,N,-71.0865783691,W,-1.42200005054,328107.012395,4689344.21369,19,T,5.0
2020/02/26/13:03:05.957334,180305.796875,42.3373756409,N,-71.0865783691,W,-1.52900004387,328106.8183,4689344.37753,19,T,5.0
2020/02/26/13:03:06.082302,180306.0,42.3373794556,N,-71.0865783691,W,-1.44599997997,328106.595177,4689344.64615,19,T,5.0
2020/02/26/13:03:06.276360,180306.203125,42.3373794556,N,-71.0865859985,W,-1.42900002003,328106.381807,4689344.84193,19,T,5.0
2020/02/26/13:03:06.481271,180306.40625,42.3373832703,N,-71.0865859985,W,-1.33899998665,328106.124705,4689345.20953,19,T,5.0
2020/02/26/13:03:07.074727,180307.0,42.3373985291,N,-71.0866012573,W,-0.889999985695,328105.104485,4689347.04732,19,T,5.0
2020/02/26/13:03:07.677235,180307.59375,42.3374061584,N,-71.0866088867,W,-0.671000003815,328104.422915,4689347.89903,19,T,5.0
2020/02/26/13:03:08.276169,180308.203125,42.3374214172,N,-71.0866165161,W,-0.407000005245,328103.509158,4689349.59623,19,T,5.0
2020/02/26/13:03:08.581816,180308.40625,42.3374252319,N,-71.0866241455,W,-0.294999986887,328103.271174,4689349.91429,19,T,5.0
2020/02/26/13:03:09.672872,180309.59375,42.3374519348,N,-71.0866394043,W,-1.2460000515,328101.958395,4689352.98701,19,T,5.0
2020/02/26/13:03:10.275000,180310.203125,42.3374481201,N,-71.0866394043,W,-3.51200008392,328102.183997,4689352.63463,19,T,1.0
2020/02/26/13:03:10.483785,180310.40625,42.3374481201,N,-71.0866317749,W,-4.25199985504,328102.249228,4689352.48229,19,T,1.0
2020/02/26/13:03:10.675109,180310.59375,42.3374481201,N,-71.0866317749,W,-5.00699996948,328102.282584,4689352.4811,19,T,1.0
2020/02/26/13:03:11.670405,180311.59375,42.3374519348,N,-71.0867004395,W,17.906999588,328096.593442,4689353.18088,19,T,1.0
2020/02/26/13:03:11.874250,180311.796875,42.3374443054,N,-71.0867004395,W,20.6350002289,328096.915856,4689351.99243,19,T,1.0
2020/02/26/13:03:20.072932,180320.0,42.3374214172,N,-71.0868377686,W,0.643999993801,328085.6324,4689349.78789,19,T,5.0
2020/02/26/13:03:20.276557,180320.203125,42.3374176025,N,-71.0868377686,W,0.497000008821,328085.316172,4689349.61603,19,T,5.0
