time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/26/13:25:55.509474,182555.40625,42.3389129639,N,-71.0846710205,W,-1.42100000381,328267.780559,4689510.95364,19,T,5.0
2020/02/26/13:25:56.122385,182556.0,42.3389129639,N,-71.0846710205,W,-1.3789999485,328267.793573,4689510.96332,19,T,5.0
2020/02/26/13:25:56.699474,182556.59375,42.3389129639,N,-71.0846710205,W,-1.33599996567,328267.804757,4689510.9712,19,T,5.0
2020/02/26/13:25:57.307934,182557.203125,42.3389129639,N,-71.0846710205,W,-1.29200005531,328267.820023,4689510.98304,19,T,5.0
2020/02/26/13:25:57.905267,182557.796875,42.3389129639,N,-71.0846710205,W,-1.25,328267.831677,4689510.99331,19,T,5.0
2020/02/26/13:25:58.509075,182558.40625,42.3389129639,N,-71.0846710205,W,-1.2159999609,328267.845369,4689511.00261,19,T,5.0
2020/02/26/13:25:59.110823,182559.0,42.3389129639,N,-71.0846710205,W,-1.18400001526,328267.855285,4689511.00922,19,T,5.0
2020/02/26/13:25:59.712034,182559.59375,42.3389129639,N,-71.0846710205,W,-1.14600002766,328267.867933,4689511.02076,19,T,5.0
2020/02/26/13:26:00.313579,182600.203125,42.3389129639,N,-71.0846710205,W,-1.10099995136,328267.881157,4689511.0334,19,T,5.0
2020/02/26/13:26:00.912421,182600.796875,42.3389129639,N,-71.0846710205,W,-1.05999994278,328267.894578,4689511.04844,19,T,5.0
2020/02/26/13:26:01.504964,182601.40625,42.3389129639,N,-71.0846710205,W,-1.0340000391,328267.906786,4689511.05888,19,T,5.0
2020/02/26/13:26:02.119765,182602.0,42.3389129639,N,-71.0846710205,W,-0.998000025749,328267.923796,4689511.06902,19,T,5.0
2020/02/26/13:26:02.712503,182602.59375,42.3389129639,N,-71.0846710205,W,-0.967000007629,328267.937433,4689511.07609,19,T,5.0
2020/02/26/13:26:03.312939,182603.203125,42.3389129639,N,-71.0846710205,W,-0.944999992847,328267.951939,4689511.08499,19,T,5.0
2020/02/26/13:26:03.907478,182603.796875,42.3389129639,N,-71.0846710205,W,-0.919000029564,328267.962927,4689511.09047,19,T,5.0
2020/02/26/13:26:04.512256,182604.40625,42.3389129639,N,-71.0846710205,W,-0.893999993801,328267.975707,4689511.10182,19,T,5.0
2020/02/26/13:26:05.110657,182605.0,42.3389129639,N,-71.0846710205,W,-0.879000008106,328267.984411,4689511.10938,19,T,5.0
2020/02/26/13:26:05.707390,182605.59375,42.3389129639,N,-71.0846710205,W,-0.871999979019,328267.99014,4689511.11332,19,T,5.0
2020/02/26/13:26:06.310187,182606.203125,42.3389129639,N,-71.0846710205,W,-0.864000022411,328267.9938,4689511.11693,19,T,5.0
2020/02/26/13:26:06.908437,182606.796875,42.3389129639,N,-71.0846710205,W,-0.851999998093,328268.002266,4689511.12598,19,T,5.0
2020/02/26/13:26:07.505026,182607.40625,42.3389129639,N,-71.0846710205,W,-0.842999994755,328268.006517,4689511.12569,19,T,5.0
2020/02/26/13:26:08.123458,182608.0,42.3389129639,N,-71.0846710205,W,-0.829999983311,328268.012206,4689511.12796,19,T,5.0
2020/02/26/13:26:08.709032,182608.59375,42.3389129639,N,-71.0846710205,W,-0.832000017166,328268.015798,4689511.1288,19,T,5.0
2020/02/26/13:26:09.306744,182609.203125,42.3389129639,N,-71.0846710205,W,-0.828999996185,328268.021478,4689511.1307,19,T,5.0
2020/02/26/13:26:09.905332,182609.796875,42.3389129639,N,-71.0846710205,W,-0.836000025272,328268.022982,4689511.13603,19,T,5.0
2020/02/26/13:26:10.507095,182610.40625,42.3389129639,N,-71.0846710205,W,-0.837000012398,328268.026798,4689511.14038,19,T,5.0
2020/02/26/13:26:11.106999,182611.0,42.3389129639,N,-71.0846710205,W,-0.842000007629,328268.028858,4689511.14033,19,T,5.0
2020/02/26/13:26:11.712376,182611.59375,42.3389129639,N,-71.0846710205,W,-0.855000019073,328268.02927,4689511.14032,19,T,5.0
2020/02/26/13:26:12.302703,182612.203125,42.3389129639,N,-71.0846710205,W,-0.874000012875,328268.026103,4689511.14003,19,T,5.0
2020/02/26/13:26:12.907671,182612.796875,42.3389129639,N,-71.0846710205,W,-0.887000024319,328268.026895,4689511.13871,19,T,5.0
2020/02/26/13:26:13.505532,182613.40625,42.3389129639,N,-71.0846710205,W,-0.899999976158,328268.024813,4689511.13784,19,T,5.0
2020/02/26/13:26:14.122780,182614.0,42.3389129639,N,-71.0846710205,W,-0.925000011921,328268.023088,4689511.13473,19,T,5.0
2020/02/26/13:26:14.712200,182614.59375,42.3389129639,N,-71.0846710205,W,-0.945999979973,328268.020177,4689511.13369,19,T,5.0
2020/02/26/13:26:15.308517,182615.203125,42.3389129639,N,-71.0846710205,W,-0.967999994755,328268.015886,4689511.12676,19,T,5.0
2020/02/26/13:26:15.905284,182615.796875,42.3389129639,N,-71.0846710205,W,-0.986999988556,328268.012367,4689511.12333,19,T,5.0
2020/02/26/13:26:16.511679,182616.40625,42.3389129639,N,-71.0846710205,W,-1.00899994373,328268.008349,4689511.12194,19,T,5.0
2020/02/26/13:26:17.107565,182617.0,42.3389129639,N,-71.0846710205,W,-1.02699995041,328268.001879,4689511.11581,19,T,5.0
2020/02/26/13:26:17.711799,182617.59375,42.3389129639,N,-71.0846710205,W,-1.05900001526,328267.99605,4689511.1078,19,T,5.0
2020/02/26/13:26:18.298114,182618.203125,42.3389129639,N,-71.0846710205,W,-1.08800005913,328267.993199,4689511.10361,19,T,5.0
2020/02/26/13:26:18.909827,182618.796875,42.3389129639,N,-71.0846710205,W,-1.11399996281,328267.988926,4689511.09742,19,T,5.0
2020/02/26/13:26:19.505879,182619.40625,42.3389129639,N,-71.0846710205,W,-1.14100003242,328267.98452,4689511.09142,19,T,5.0
2020/02/26/13:26:20.118575,182620.0,42.3389129639,N,-71.0846710205,W,-1.17299997807,328267.976118,4689511.08496,19,T,5.0
2020/02/26/13:26:20.711918,182620.59375,42.3389129639,N,-71.0846710205,W,-1.19299995899,328267.971543,4689511.07766,19,T,5.0
2020/02/26/13:26:21.308361,182621.203125,42.3389129639,N,-71.0846710205,W,-1.21500003338,328267.968656,4689511.07199,19,T,5.0
2020/02/26/13:26:21.917353,182621.796875,42.3389129639,N,-71.0846710205,W,-1.24399995804,328267.962821,4689511.06936,19,T,5.0
2020/02/26/13:26:22.513555,182622.40625,42.3389129639,N,-71.0846710205,W,-1.27499997616,328267.954474,4689511.06512,19,T,5.0
2020/02/26/13:26:23.109618,182623.0,42.3389129639,N,-71.0846710205,W,-1.29999995232,328267.950388,4689511.06096,19,T,5.0
2020/02/26/13:26:23.711159,182623.59375,42.3389129639,N,-71.0846710205,W,-1.33200001717,328267.944315,4689511.05981,19,T,5.0
2020/02/26/13:26:24.312566,182624.203125,42.3389129639,N,-71.0846710205,W,-1.35699999332,328267.938202,4689511.05144,19,T,5.0
2020/02/26/13:26:24.908942,182624.796875,42.3389129639,N,-71.0846710205,W,-1.37999999523,328267.932748,4689511.0475,19,T,5.0
2020/02/26/13:26:25.508639,182625.40625,42.3389129639,N,-71.0846710205,W,-1.40799999237,328267.926882,4689511.03802,19,T,5.0
2020/02/26/13:26:26.114896,182626.0,42.3389129639,N,-71.0846710205,W,-1.43400001526,328267.921474,4689511.03037,19,T,5.0
2020/02/26/13:26:26.705873,182626.59375,42.3389129639,N,-71.0846710205,W,-1.46899998188,328267.914094,4689511.02074,19,T,5.0
2020/02/26/13:26:27.314895,182627.203125,42.3389129639,N,-71.0846710205,W,-1.51100003719,328267.908974,4689511.01364,19,T,5.0
2020/02/26/13:26:27.913024,182627.796875,42.3389129639,N,-71.0846710205,W,-1.54700005054,328267.901547,4689511.00771,19,T,5.0
2020/02/26/13:26:28.505211,182628.40625,42.3389129639,N,-71.0846710205,W,-1.5870000124,328267.892739,4689511.00145,19,T,5.0
2020/02/26/13:26:29.112848,182629.0,42.3389129639,N,-71.0846710205,W,-1.61699998379,328267.884314,4689510.99406,19,T,5.0
2020/02/26/13:26:29.713068,182629.59375,42.3389129639,N,-71.0846710205,W,-1.64699995518,328267.87685,4689510.99221,19,T,5.0
2020/02/26/13:26:30.314302,182630.203125,42.3389129639,N,-71.0846710205,W,-1.66900002956,328267.869369,4689510.98406,19,T,5.0
2020/02/26/13:26:30.909240,182630.796875,42.3389129639,N,-71.0846710205,W,-1.68499994278,328267.864564,4689510.97862,19,T,5.0
2020/02/26/13:26:31.512452,182631.40625,42.3389129639,N,-71.0846710205,W,-1.71300005913,328267.85663,4689510.96881,19,T,5.0
2020/02/26/13:26:32.123955,182632.0,42.3389129639,N,-71.0846710205,W,-1.73899996281,328267.847981,4689510.96347,19,T,5.0
2020/02/26/13:26:32.705099,182632.59375,42.3389129639,N,-71.0846710205,W,-1.76699995995,328267.840226,4689510.95533,19,T,5.0
2020/02/26/13:26:33.315994,182633.203125,42.3389129639,N,-71.0846710205,W,-1.79799997807,328267.835549,4689510.94952,19,T,5.0
2020/02/26/13:26:33.911687,182633.796875,42.3389129639,N,-71.0846710205,W,-1.82000005245,328267.832447,4689510.94626,19,T,5.0
2020/02/26/13:26:34.506154,182634.40625,42.3389129639,N,-71.0846710205,W,-1.84700000286,328267.828996,4689510.9456,19,T,5.0
2020/02/26/13:26:35.102745,182635.0,42.3389129639,N,-71.0846710205,W,-1.86600005627,328267.824948,4689510.93737,19,T,5.0
2020/02/26/13:26:35.705757,182635.59375,42.3389129639,N,-71.0846710205,W,-1.88999998569,328267.82109,4689510.93691,19,T,5.0
2020/02/26/13:26:36.313995,182636.203125,42.3389129639,N,-71.0846710205,W,-1.92100000381,328267.815694,4689510.93537,19,T,5.0
2020/02/26/13:26:36.906070,182636.796875,42.3389129639,N,-71.0846710205,W,-1.94500005245,328267.81179,4689510.93306,19,T,5.0
2020/02/26/13:26:37.510133,182637.40625,42.3389129639,N,-71.0846710205,W,-1.9620000124,328267.806528,4689510.93134,19,T,5.0
2020/02/26/13:26:38.117290,182638.0,42.3389129639,N,-71.0846710205,W,-1.97599995136,328267.800637,4689510.93204,19,T,5.0
2020/02/26/13:26:38.706141,182638.59375,42.3389129639,N,-71.0846710205,W,-1.99300003052,328267.796975,4689510.93398,19,T,5.0
2020/02/26/13:26:39.311588,182639.203125,42.3389129639,N,-71.0846710205,W,-2.00600004196,328267.79578,4689510.93568,19,T,5.0
2020/02/26/13:26:39.906108,182639.796875,42.3389129639,N,-71.0846710205,W,-2.0150001049,328267.793011,4689510.94037,19,T,5.0
2020/02/26/13:26:40.512655,182640.40625,42.3389129639,N,-71.0846710205,W,-2.02999997139,328267.791125,4689510.9419,19,T,5.0
2020/02/26/13:26:41.112485,182641.0,42.3389129639,N,-71.0846710205,W,-2.03800010681,328267.788653,4689510.94196,19,T,5.0
