time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.fix_style,.altitude,.utm_easting,.utm_northing,.Zone,.fields
2020/02/25/17:22:55.811241,375,1582669375,810604095,,42.3371810913,-71.0903320312,5.0,3.32999992371,327796.8125,4689330.0,19,T
2020/02/25/17:22:57.927722,376,1582669377,927041053,,42.3371810913,-71.0903320312,5.0,3.3069999218,327796.8125,4689330.0,19,T
2020/02/25/17:23:00.043830,377,1582669380,43365955,,42.3371810913,-71.0903320312,5.0,3.28800010681,327796.8125,4689330.0,19,T
2020/02/25/17:23:02.163596,378,1582669382,163233995,,42.3371810913,-71.0903320312,5.0,3.27099990845,327796.8125,4689330.0,19,T
2020/02/25/17:23:04.282130,379,1582669384,281858921,,42.3371810913,-71.0903320312,5.0,3.2460000515,327796.8125,4689330.0,19,T
2020/02/25/17:23:06.399802,380,1582669386,399149894,,42.3371810913,-71.0903320312,5.0,3.22600007057,327796.78125,4689330.0,19,T
2020/02/25/17:23:08.520710,381,1582669388,520253896,,42.3371810913,-71.0903320312,5.0,3.22199988365,327796.78125,4689330.0,19,T
2020/02/25/17:23:10.640167,382,1582669390,639413118,,42.3371810913,-71.0903320312,5.0,3.22199988365,327796.78125,4689330.0,19,T
2020/02/25/17:23:12.585922,383,1582669392,585335969,,42.3371810913,-71.0903320312,5.0,1.94200003147,327796.8125,4689330.0,19,T
2020/02/25/17:23:14.705537,384,1582669394,704960107,,42.3371810913,-71.0903320312,5.0,1.92599999905,327796.8125,4689330.0,19,T
2020/02/25/17:23:16.825248,385,1582669396,824670076,,42.3371810913,-71.0903320312,5.0,1.91400003433,327796.8125,4689330.0,19,T
2020/02/25/17:23:18.944741,386,1582669398,944087028,,42.3371810913,-71.0903320312,5.0,1.89199995995,327796.8125,4689330.0,19,T
2020/02/25/17:23:21.061518,387,1582669401,60858964,,42.3371810913,-71.0903320312,5.0,1.87300002575,327796.8125,4689330.0,19,T
